	LE6	LE7	LE8	LE9	LE10	LE11	LE12	LE13	LE14	LE15	LP1	LP2	LP3	LP4	LP5	LP6	LP7	LP8	LP9	LP10	LP11	LP12	LP13	LP14	LP15
	E14.5	E14.5	E14.5	E14.5	E14.5	E17.5	E17.5	E17.5	E17.5	E17.5	P0	P0	P0	P0	P0	P1	P1	P1	P1	P7	P7	P7	P21	P21	P21
LPE18:1	0.001043083	0.001476436	0.001785497	0.001361498	0.001356314	0.000764276	0.001622134	0.002693741	0.001774581	0.001626103	0.000855344	0.000970509	0.001208582	0.001046361	0.001548277	0.001351254	0.001168216	0.000895843	0.000972251	0.000981309	0.001212034	0.001245222	0.001344185	0.001505538	0.001966835
LPE18:0	0.000694414	0.000831758	0.001127407	0.000761573	0.000689842	0.000596702	0.000598875	0.001188501	0.000665173	0.000846974	0.000420866	0.000412615	0.000522374	0.000408082	0.000684904	0.000630155	0.000650337	0.000483098	0.000507269	0.000843224	0.000987201	0.000886328	0.000734819	0.000845163	0.000957515
PE32:2	0.000124495	0.000220252	0.000187585	0.000201824	0.000165003	0.000355829	0.000243396	0.0002257	0.000191246	0.00022574	0.000322054	0.000332568	0.000297486	0.00017602	0.000289964	9.75E-05	0.00011218	0.000142131	0.000154616	0.000248823	0.000182466	0.000173748	0.000178814	0.000155467	0.000271213
PE32:1	0.001103353	0.00161312	0.001552916	0.001390458	0.001123007	0.002020838	0.001899685	0.001734665	0.001592629	0.001650198	0.002363565	0.002218764	0.002107475	0.001418257	0.002020552	0.000598002	0.001300144	0.000880256	0.00115824	0.001105071	0.001022845	0.001179459	0.000946961	0.001120919	0.001199867
PE32:0	0.000575256	0.000958744	0.000672205	0.000524744	0.000673786	0.000588157	0.000617205	0.00046328	0.000507406	0.000418644	0.00050412	0.000549083	0.000466179	0.000271364	0.000338292	0.000400389	0.0005477	0.000404541	0.000391087	0.000586211	0.000662641	0.000663401	0.000471418	0.000404938	0.000482668
PE34:2	0.001820469	0.002183378	0.002324384	0.002000596	0.002328836	0.003515931	0.003121621	0.002499116	0.002440004	0.0028821	0.002973088	0.002856118	0.003107933	0.00213258	0.002900852	0.001831225	0.002544842	0.002132787	0.002162258	0.002995389	0.002958646	0.003339041	0.003455473	0.003074384	0.003490172
PE34:1	0.006305551	0.007997871	0.006422253	0.006416402	0.006447727	0.008679743	0.008281858	0.007980584	0.006760247	0.008757609	0.007367837	0.00612961	0.006534544	0.004555752	0.006275472	0.003592159	0.004817121	0.003869547	0.003764033	0.006709941	0.007168435	0.008356435	0.003951377	0.004203293	0.005390252
PE34:0	0.000721237	0.001114249	0.000901475	0.000834208	0.000921313	0.000832306	0.00082583	0.000752374	0.000737701	0.000890686	0.000752662	0.000586716	0.000690076	0.000420504	0.000650825	0.000497878	0.000511407	0.000478353	0.000482053	0.00078023	0.000739493	0.000863501	0.000520185	0.000567654	0.000570008
PE36:4	0.004845282	0.005515015	0.005072137	0.005205231	0.005705373	0.008200119	0.006860468	0.006103015	0.00529185	0.007494494	0.007391343	0.007864832	0.007257052	0.004877612	0.00706867	0.005063337	0.006427458	0.006028696	0.006441798	0.00943793	0.011804956	0.013840948	0.008967325	0.009825533	0.010912226
PE36:3	0.001356744	0.002014918	0.001850055	0.001664177	0.001856652	0.00230933	0.002382609	0.001992241	0.001678728	0.002073172	0.002398763	0.002319507	0.002245928	0.001508883	0.002310887	0.001907892	0.002142151	0.00190878	0.001892332	0.003046082	0.002997396	0.003881951	0.002178744	0.00217374	0.002156377
